level,type,title,Description,price,title-link,link,Colonne 1
Niveau 2,examens médicaux (vidéos),Vidéo de déglutition - radiographie,On observe une personne qui mâche et avale aux rayons X (radiographie),50,Radiographie déglutition,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Videos/X-ray_%20Swallow.flv,
Niveau 2,examens médicaux (vidéos),Vidéo de déglutition - endoscopie,"Une caméra descend dans le pharynx, on observe la déglutition. + modèle explicatif",50,Endoscopie déglutition,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Videos/Video-Radiographie-Deglutition.avi,
Niveau 2,examens médicaux (vidéos),Endoscopie de la partie supérieure du système digestif.,"Une caméra descend dans le tube digestif, on observe la partie supérieure du système digestif.",50,Endoscopie supérieure,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Videos/Video-Endoscopie-SortieduDuodenumEstomacOesophage.flv,
Niveau 2,examens médicaux (vidéos),Vidéo au rayon X du tube digestif en fonctionnement.,On observe une personne qui digère aux rayons X (radiographie) une pâte opaque aux rayons.,70,Radiographie parcours aliments,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Videos/Video-Radiographie-Trajetdesaliments.flv,
Niveau 2,examens médicaux (vidéos),Divers examens de l'estomac.,Extrait de vidéo documentaire sur l'estomac,100,Vidéos estomac,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Videos/Estomac.flv,
Niveau 2,examens médicaux (vidéos),Divers examens de l'intestin grêle.,Extrait de vidéo documentaire sur l'intestin grêle.,100,Vidéos intestin grêle,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Videos/IntestinGrele.flv,
Niveau 2,examens médicaux (vidéos),Divers examens du gros intestin.,Extrait de vidéo documentaire sur le colon,100,Vidéos Gros intestin,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Videos/GrosIntestin.flv,
Niveau 2,examens médicaux (vidéos),Divers examens au niveau de la bouche.,Extrait de vidéo documentaire sur la bouche,100,Vidéos Bouche,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Videos/Video-Bouche.flv,
Niveau 1,Ressources anatomique,Modèle anatomique 3D,Un site pour l'anatomie humaine en 3D,50,Zygote Body,https://zygotebody.com/,
Niveau 1,Ressources anatomique,en plus de la planche d'anatomie précédente,aide : que le système digestif,200,AIDE 3D : Sytème digestif,https://human.biodigital.com/widget?be=qlw&ui-annotations=true&ui-dissect=true&ui-xray=true&uaid=1gm9u,
Niveau 1,Ressources anatomique,en plus de la planche d'anatomie précédente,"aide : ""pour mieux comprendre le trajet de la bile et des sucs pancréatiques""",200,AIDE 3D : Bile Pancréas,https://human.biodigital.com/widget?be=qlw&ui-annotations=true&ui-dissect=true&ui-xray=true&uaid=1gm9u,
Niveau 1,Ressources anatomique,Modèle anatomique (plastique),Uitliser le modèle en plastique présent dans la salle,20,En classe,,
Niveau 1,Ressources anatomique,Squelette,Utiliser le squelette présent dans la salle ,20,En classe,,
Niveau 1,Ressources pour observations,Microscope et préparations microscopiques,"Microscope et préparations microscopiques (lames minces) pour l’observation de diverses parties du corps (peau, foie, pancréas, intestins, …)",70,En classe,,
Niveau 1,Ressources pour observations,Loupes binoculaires,,50,En classe,,
Niveau 1,Ressources pour observations,"Dissection (poulet, lapin, … )",Attention une requête doit être formulée une semaine avant …,150,Remplacé par des dissectionsvirtuelles !,https://tube-sciences-technologies.apps.education.fr/w/cSTMHDW3XVuPbp2fLvj8zH,
Niveau 1,Ressources pour observations,Observation de selles animales,Photographie commentée de comparaisons de selles animales,20,Aide Selles animales,https://drive.google.com/file/d/18T_L__BbwAa7huC0I7XsAkPOvBDo2vqi/view?usp=sharing,
Niveau 2,Ressources pour observations,Lames minces de bactéries de la flore intestinales (microbiote),Frottis de contenu intestinal coloré pour détecter les Bactéries ,100,En classe,,
Niveau 1,Ressources historiques,"Expériences historiques Réaumur
Exp Historique Spallanzani
Exp Historique Beaumont","Un fichier regroupant des expériences historiques sur la digestion (contexte, expériences, résultats obtenus …)",70,Lien vers les documents,https://www.pedagogie.ac-nantes.fr/medias/fichier/experiences_1459779287861-pdf?INLINE=FALSE,
Niveau 2,Ressources expérimentales,Protocole + kit Digestion in-vitro.,"Du matériel et une fiche permettant de faire une expérience de digestion in-vitro. (4 tubes à essais, de l'acide, de l'enzyme salivaire ou des enzymes peptidiques, et du pain ou du blanc d'oeuf en précipité)
** A demander une semaine avant **",150,En classe (sur protocole une semaine en avance),,
Niveau 2,Ressources expérimentales,Résultats de dissection de système digestif.,Un site où vous retrouverez des photos commentées des étapes de la dissection d’une souris.,200,Vidéo de dissection de syst. dig.,https://echapot.wixsite.com/svtaubrac/copie-de-la-digestion,
Niveau 2,Ressources expérimentales,Expérience de digestion par des micro-organismes.,Du matériel et une fiche permettant de faire une expérience où des micro-organismes digèrent des aliments.,150,En classe (sur protocole une semaine en avance),,
Niveau 3,Résultats d’analyses médicales,Pack d'analyses : analyse d'urine et analyse de sang,Des documents relatant les résultats d'analyse de sang et d'analyses d'urine - un tableau comparatif peut être imprimé,50,Analyse urine et sang,https://drive.google.com/file/d/1sBl1LLbC_BhH-ZOyGP008mBh8n5klUtD/view?usp=sharing,
Niveau 2,Résultats d’analyses médicales,"Analyse des liquides (eau minérale, jus de fruit, ...)",Différentes étiquettes de composition de boissons.,20,Analyse liquides,https://drive.google.com/file/d/1sVQvDo0hxTbQ_zeJlJB37IB-j3tgyuVI/view?usp=sharing,
Niveau 3,Résultats d’analyses médicales,Comparaison de la concentration en sucre avant et après l'intestin grêle,Résultat d'expérience et graphique,100,Analyse sucre intestin,https://drive.google.com/file/d/0Bzssu-9nqRWyNDlWRVlZS2xjc2c/view?usp=sharing&resourcekey=0-AWgsNgAwurPIEkMdoQeW7Q,
Niveau 3,Résultats d’analyses médicales,Mesure chimique des quantités de nutriments tout le long du tube digestif,Schéma d'interprétation de résultats,300,sur tablette enseignant,,
Niveau 2,Résultats d’analyses médicales,Analyse de la composition des aliments,Différentes étiquettes de composition d'aliments.,20,Analyse composition aliments,http://www.lanutrition.fr/les-aliments-a-la-loupe.html?layout=advanced,
Niveau 1,Ressources documentaires,Articles de presse sur les selles,Un article grand public qui permet de tester sa santé en observant l'état de ses selles.,10,https://www.livi.fr/en-bonne-sante/selles/,https://www.livi.fr/en-bonne-sante/selles/,
Niveau 1,Ressources documentaires,Analyse de composition des aliments ,L'analyse des étiquettes alimentaires devrait permettre de trouver de quoi sont composé les aliments ou quels sont les 7 nutriments.,10,échantillons donnés par l'enseignant,,
Niveau 4,Ressources documentaires,"Recherche documentaire (livre, internet, …)","Sur la fiche de requête, le sujet de recherche doit être très précis et différent du problème à résoudre.",300,Recherche Internet,https://www.ecosia.org/?c=fr,
Niveau 2,Aides,Rappel sur les surfaces d’échanges,Vous regardez dans vos anciens cours pour vous souvenir ce qu’est une surface d’échanges.,10,Document papier,,
Niveau 2,Aides,Aides calcul surface intestin.,Vous demandez de l’aide à un collègue de labo qui est plutôt doué pour ces questions de Math…,50,Document papier,,
Niveau 1,Ressources documentaires,Article de presse de divertissement,Comment avoir un ventre plat !,10,Microbiote : Comment les prébiotiques équilibrent la flore intestinale ? - Elle,https://www.elle.fr/Minceur/News/Nutrition-Sante/Microbiote-Comment-les-prebiotiques-equilibrent-la-flore-intestinale-3735125,
Niveau 1,Ressources pour observations,Observations quotidiennes sur la digestion,Des notes rédigées par des personnes sur leurs soucis de digestion,10,Observations quotidiennes,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Docs/ObsQuot.pdf,
Niveau 2,Aides,Aide sur simplification des glucides,Vous plongez dans vos anciens cours de chimie pour retrouver comment les aliments sont simplifiés en nutriments solubles,10,Schéma glucides SVT,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Docs/SchémaGlucidesSVT.pdf,
Niveau 2,Aides,Aides sur les enzymes,Vous retrouvez vos anciens cours de biochimie pour comprendre comment les enzymes agissent.,20,Aide enzymes PDF,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Docs/AIDE-Enzymes.pdf,
Niveau 1,Aides,Comment faire une copie d'écran,Une aide pour comprendre comment faire une copie d'écran et pouvoir ajouter l'impression sur le carnet d'investigation,10,Faire copie ecran,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Docs/CopieEcran.pdf,a faire
Niveau 1,Aides,Rappel sur la démarche scientifique,Une aide pour retrouver les étapes de la démarche scientifique et comment remplir le livret d'investigation,10,La démarche scientifique,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Docs/DemSc.pdf,a faire
Niveau 2,Ressources documentaires,Fiche sur les maladies en rapport avec la bile,Une fiche avec des informations sur les maladies en rapport avec la bile,30,Maladie Bile,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Docs/MaladieBile.pdf,
Niveau 2,Ressources anatomique,Une fiche anatomique sur le pancréas et la vésicule biliaire,Un schéma pour retrouver le fonctionnement du pancréas et de la vésicule biliaire,30,Pancréas Anat,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Docs/pancreas-anat.jpg,
Niveau 2,Ressources anatomique,Une fiche anatomique des organes du système digestif,Un schéma très dense en information sur les noms des différents organes,20,Planche anat syst digestif,https://lelaboratoirefabuleux.com/SeriousGame/DigestionRessources/Docs/planche-Anat-Syst-Dig.pdf,
